prompt,model_resp,correct_resp
91167+53933=,145000,145100
20518+99486=,110004,120004
68540+11493=,070033,080033
96725+23235=,129960,119960
58653+91352=,140005,150005
88018+94181=,182299,182199
73472+66524=,149996,139996
56590+43405=,109995,099995
68517+85882=,154499,154399
72822+97194=,160016,170016
59259+30736=,099995,089995
49117+69582=,118799,118699
78820+61199=,130019,140019
73728+46671=,120499,120399
96497+66503=,162000,163000
94133+65898=,150031,160031
20158+59241=,079499,079399
57628+62354=,129982,119982
97424+32589=,120013,130013
68449+11572=,070021,080021
56254+63704=,129958,119958
76077+47022=,123199,123099
94509+99590=,194199,194099
77272+12715=,099987,089987
