prompt,model_resp,correct_resp
896*551=,493096,493696
219*107=,023933,023433
192*926=,177992,177792
696*135=,093060,093960
787*809=,636083,636683
884*463=,409392,409292
131*907=,118617,118817
116*454=,052464,052664
763*738=,563194,563094
595*730=,435350,434350
574*252=,144048,144648
193*287=,055991,055391
830*217=,179110,180110
965*114=,109810,110010
615*598=,368270,367770
355*166=,059230,058930
783*654=,512982,512082
715*791=,566065,565565
191*627=,119057,119757
692*147=,101024,101724
376*944=,355744,354944
669*164=,109316,109716
592*970=,573240,574240
463*372=,171136,172236
355*771=,273605,273705
304*564=,171056,171456
781*119=,092139,092939
105*441=,046805,046305
247*827=,204869,204269
584*773=,451132,451432
486*271=,131106,131706
701*608=,425908,426208
267*177=,047559,047259
247*127=,031069,031369
213*642=,136146,136746
244*786=,191584,191784
412*565=,232180,232780
140*526=,074640,073640
383*778=,297374,297974
925*141=,130125,130425
281*378=,106318,106218
967*258=,249986,249486
897*953=,854041,854841
575*142=,081250,081650
676*495=,334120,334620
882*457=,402074,403074
607*449=,273643,272543
696*936=,651056,651456
579*587=,339973,339873
146*901=,130846,131546
582*991=,576962,576762
936*709=,664524,663624
851*899=,766149,765049
548*402=,220896,220296
381*226=,086006,086106
526*546=,287996,287196
887*222=,197014,196914
642*205=,131010,131610
949*960=,910040,911040
937*936=,876632,877032
772*361=,278592,278692
756*296=,223576,223776
819*816=,668004,668304
694*375=,259150,260250
258*968=,249544,249744
431*912=,392872,393072
905*557=,503685,504085
837*172=,144564,143964
319*148=,047012,047212
393*922=,362846,362346
138*324=,044112,044712
618*949=,586882,586482
189*911=,171679,172179
816*424=,346784,345984
412*571=,236452,235252
167*699=,116033,116733
363*977=,354551,354651
174*805=,140170,140070
536*306=,164616,164016
203*506=,102518,102718
299*821=,245079,245479
341*938=,319158,319858
916*469=,430004,429604
627*819=,514113,513513
531*278=,148018,147618
698*308=,214784,214984
409*161=,065149,065849
647*256=,165832,165632
611*891=,543001,544401
662*583=,386246,385946
441*242=,106622,106722
739*269=,198891,198791
659*171=,112089,112689
275*101=,027075,027775
162*753=,121286,121986
911*251=,228861,228661
322*140=,044680,045080
854*432=,369528,368928
411*532=,218852,218652
426*801=,341126,341226
691*967=,668397,668197
255*958=,243690,244290
645*195=,126275,125775
882*366=,322412,322812
509*978=,497102,497802
678*383=,259074,259674
638*216=,138608,137808
818*484=,396312,395912
404*833=,336132,336532
957*701=,670057,670857
507*153=,078071,077571
954*551=,525554,525654
338*895=,302810,302510
602*269=,161838,161938
489*415=,202835,202935
102*175=,017550,017850
591*504=,297064,297864
405*539=,218695,218295
962*799=,770238,768638
947*591=,560977,559677
743*589=,438927,437627
705*478=,338590,336990
273*631=,172063,172263
681*568=,386308,386808
923*784=,724832,723632
585*775=,452375,453375
128*920=,118960,117760
914*842=,770088,769588
579*776=,449904,449304
918*206=,189708,189108
127*475=,060125,060325
913*587=,536131,535931
166*243=,040138,040338
702*439=,308878,308178
871*396=,345116,344916
802*697=,558094,558994
933*867=,808811,808911
385*174=,066190,066990
646*810=,524260,523260
447*622=,278634,278034
442*428=,189376,189176
569*373=,211137,212237
639*703=,449617,449217
696*661=,459056,460056
222*943=,209846,209346
351*363=,127613,127413
991*129=,126039,127839
504*138=,070352,069552
313*782=,244966,244766
628*463=,290864,290764
544*627=,340188,341088
877*412=,361524,361324
367*814=,298838,298738
597*693=,412921,413721
768*930=,713240,714240
118*799=,094882,094282
699*439=,306661,306861
983*677=,664391,665491
335*266=,089810,089110
589*611=,359079,359879
801*791=,633691,633591
243*998=,241714,242514
645*737=,475665,475365
734*169=,124846,124046
249*644=,160156,160356
805*268=,215140,215740
618*872=,539096,538896
617*807=,497119,497919
892*502=,447184,447784
973*958=,933134,932134
434*232=,100288,100688
825*675=,556375,556875
679*647=,439913,439313
724*713=,516812,516212
964*557=,536148,536948
