prompt,model_resp,correct_resp
178980:,422,423
458306:,677,676
213411:,462,461
139840:,374,373
101789:,318,319
128218:,357,358
911019:,953,954
451595:,671,672
777861:,882,881
254001:,504,503
416020:,645,644
620922:,788,787
139858:,374,373
117636:,343,342
552122:,742,743
191825:,438,437
266234:,516,515
553548:,743,744
289448:,537,538
141377:,375,376
605286:,777,778
481609:,694,693
891139:,943,944
310280:,556,557
804608:,897,896
438222:,662,661
743038:,862,861
649607:,806,805
414725:,644,643
929298:,963,964
388191:,622,623
148225:,384,385
622605:,788,789
678945:,824,823
213417:,462,461
410890:,640,641
292724:,540,541
777853:,882,881
413472:,642,643
256035:,506,505
622716:,788,789
996010:,997,998
606824:,779,778
219014:,468,467
463784:,680,681
431675:,656,657
910121:,953,954
101775:,318,319
863010:,929,928
675681:,822,821
777865:,882,881
521273:,722,721
456985:,675,676
269350:,519,518
958471:,978,979
263176:,512,513
497029:,704,705
294889:,542,543
495600:,704,703
693889:,832,833
123887:,352,351
320305:,566,565
720790:,849,848
277659:,527,526
233268:,483,482
877983:,936,937
588298:,766,767
755187:,868,869
958449:,978,979
431655:,656,657
297026:,544,545
958481:,978,979
222785:,471,472
682307:,825,826
968257:,983,984
767441:,875,876
337546:,581,580
664268:,814,815
465116:,682,681
777835:,882,881
652851:,808,807
413477:,642,643
467817:,684,683
857480:,925,926
207894:,456,455
410882:,640,641
585208:,765,764
386864:,622,621
164026:,404,405
519833:,721,720
538753:,734,733
786756:,887,886
521259:,722,721
743020:,862,861
499878:,706,707
660964:,813,812
499839:,707,706
133997:,365,366
758634:,871,870
815405:,903,902
273545:,522,523
314702:,561,560
431650:,656,657
110243:,331,332
212525:,460,461
519833:,721,720
595988:,771,772
334087:,577,578
538717:,734,733
439589:,662,663
659338:,812,811
998001:,998,999
366016:,605,604
226582:,475,476
136193:,368,369
374537:,612,611
128198:,357,358
114909:,339,338
243043:,493,492
119702:,346,345
188365:,433,434
349280:,591,590
755182:,868,869
374541:,612,611
254001:,504,503
142116:,377,376
